EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
74,35,Travel_Frequently,853,Sales,18,Male,71,3,Sales Executive,Married,9069,11031,No,22,4,80,1,9,8,1,8
75,35,Travel_Rarely,1142,Research & Development,23,Female,30,1,Technician,Married,4014,16002,Yes,15,3,80,1,2,2,2,2
76,31,Travel_Rarely,655,Research & Development,7,Male,48,2,Technician,Divorced,5915,9528,No,22,4,80,1,7,7,1,7
77,37,Travel_Rarely,1115,Research & Development,1,Male,51,2,Marketing Director,Divorced,5993,2689,No,18,3,80,1,7,5,0,7
78,32,Travel_Rarely,427,Research & Development,1,Male,33,2,Marketing Director,Married,6162,10877,Yes,22,4,80,1,9,8,7,8
79,38,Travel_Frequently,653,Research & Development,29,Female,50,2,Technician,Single,2406,5456,No,11,3,80,0,10,3,9,9
80,50,Travel_Rarely,989,Research & Development,7,Female,43,5,Research Director,Divorced,18740,16701,Yes,12,3,80,1,27,3,13,8
81,59,Travel_Rarely,1435,Sales,25,Female,99,3,Sales Executive,Single,7637,2354,No,11,3,80,0,21,16,7,9
83,36,Travel_Rarely,1223,Research & Development,8,Female,59,3,Brand Representative,Divorced,10096,8202,No,13,3,80,3,17,14,12,8
84,55,Travel_Rarely,836,Research & Development,8,Female,33,4,Manager,Divorced,14756,19730,Yes,14,3,80,3,5,0,0,2
85,36,Travel_Frequently,1195,Research & Development,11,Male,95,2,Marketing Director,Single,6499,22656,No,13,3,80,0,6,5,0,3
86,45,Travel_Rarely,1339,Research & Development,7,Male,59,3,Research Scientist,Divorced,9724,18787,No,17,3,80,1,1,0,0,0
88,35,Travel_Frequently,664,Research & Development,1,Male,79,1,Research Scientist,Married,2194,5868,No,13,3,80,1,3,2,1,2
90,36,Travel_Rarely,318,Research & Development,9,Male,79,1,Research Scientist,Married,3388,21777,Yes,17,3,80,1,1,0,0,0
91,59,Travel_Frequently,1225,Sales,1,Female,57,2,Sales Executive,Single,5473,24668,No,11,3,80,0,4,3,1,3
94,29,Travel_Rarely,1328,Research & Development,2,Male,76,1,Research Scientist,Married,2703,4956,No,23,4,80,1,5,4,0,4
95,31,Travel_Rarely,1082,Research & Development,1,Male,87,1,Research Scientist,Single,2501,18775,No,17,3,80,0,1,1,1,0
96,32,Travel_Rarely,548,Research & Development,1,Male,66,2,Research Scientist,Married,6220,7346,No,17,3,80,2,10,4,0,9
97,36,Travel_Rarely,132,Research & Development,6,Female,55,1,Technician,Married,3038,22002,No,12,3,80,0,1,0,0,0
98,31,Travel_Rarely,746,Research & Development,8,Female,61,2,Marketing Director,Single,4424,20682,No,23,4,80,0,11,7,1,8
100,35,Travel_Rarely,776,Sales,1,Male,32,2,Sales Executive,Single,4312,23016,No,14,3,80,0,15,13,2,8
101,45,Travel_Rarely,193,Research & Development,6,Male,52,3,Research Director,Married,13245,15067,Yes,14,3,80,0,0,0,0,0
102,37,Travel_Rarely,397,Research & Development,7,Male,30,3,Research Director,Single,13664,25258,No,13,3,80,0,5,2,0,2
103,46,Travel_Rarely,945,Human Resources,5,Male,80,2,Human Resources,Divorced,5021,10425,Yes,22,4,80,1,4,2,0,2
104,30,Travel_Rarely,852,Research & Development,1,Male,55,2,Technician,Married,5126,15998,Yes,12,3,80,2,10,8,3,0
105,35,Travel_Rarely,1214,Research & Development,1,Male,30,1,Research Scientist,Single,2859,26278,No,18,3,80,0,6,4,0,4
106,55,Travel_Rarely,111,Sales,1,Male,70,3,Sales Executive,Married,10239,18092,No,14,3,80,1,1,0,1,0
107,38,Non-Travel,573,Research & Development,6,Female,79,2,Research Scientist,Divorced,5329,15717,Yes,12,3,80,3,13,11,1,9
110,34,Travel_Rarely,1153,Research & Development,1,Male,94,2,Marketing Director,Married,4325,17736,No,15,3,80,0,5,2,1,3
112,56,Travel_Rarely,1400,Research & Development,7,Male,49,3,Marketing Director,Single,7260,21698,No,11,3,80,0,6,4,0,2
113,23,Travel_Rarely,541,Sales,2,Male,62,1,Sales Representative,Divorced,2322,9518,No,13,3,80,1,0,0,0,0
116,51,Travel_Rarely,432,Research & Development,9,Male,96,1,Technician,Married,2075,18725,No,23,4,80,2,4,2,0,3
117,30,Travel_Rarely,288,Research & Development,2,Male,99,2,Brand Representative,Married,4152,15830,No,19,3,80,3,11,10,10,8
118,46,Travel_Rarely,669,Sales,9,Male,64,3,Sales Executive,Single,9619,13596,No,16,3,80,0,9,8,4,7
119,40,Travel_Frequently,530,Research & Development,1,Male,78,4,Brand Representative,Married,13503,14115,No,22,4,80,1,22,3,11,11
120,51,Travel_Rarely,632,Sales,21,Male,71,2,Sales Executive,Single,5441,8423,Yes,22,4,80,0,10,7,1,0
121,30,Travel_Rarely,1334,Sales,4,Female,63,2,Sales Executive,Divorced,5209,19760,Yes,12,3,80,3,11,8,2,7
124,46,Travel_Frequently,638,Research & Development,1,Male,40,3,Brand Representative,Married,10673,3142,Yes,13,3,80,1,10,9,9,5
125,32,Travel_Rarely,1093,Sales,6,Male,87,2,Sales Executive,Single,5010,24301,No,16,3,80,0,11,8,5,7
126,54,Travel_Rarely,1217,Research & Development,2,Female,60,3,Research Director,Married,13549,24001,No,12,3,80,1,4,3,0,3
128,24,Travel_Rarely,1353,Sales,3,Female,33,2,Sales Executive,Married,4999,17519,No,21,4,80,1,3,2,0,2
129,28,Non-Travel,120,Sales,4,Male,43,2,Sales Executive,Married,4221,8863,No,15,3,80,0,5,4,0,4
131,58,Travel_Rarely,682,Sales,10,Male,37,4,Sales Executive,Single,13872,24409,No,13,3,80,0,37,10,1,8
132,44,Non-Travel,489,Research & Development,23,Male,67,2,Technician,Married,2042,25043,No,12,3,80,1,3,2,1,2
133,37,Travel_Rarely,807,Human Resources,6,Male,63,1,Human Resources,Divorced,2073,23648,Yes,22,4,80,0,3,2,0,2
134,32,Travel_Rarely,827,Research & Development,1,Male,71,1,Research Scientist,Single,2956,15178,No,13,3,80,0,1,0,0,0
137,20,Travel_Frequently,871,Research & Development,6,Female,66,1,Technician,Single,2926,19783,Yes,18,3,80,0,1,0,1,0
138,34,Travel_Rarely,665,Research & Development,6,Female,41,2,Research Scientist,Single,4809,12482,No,14,3,80,0,16,13,2,10
139,37,Non-Travel,1040,Research & Development,2,Male,100,2,Brand Representative,Divorced,5163,15850,No,14,3,80,1,1,0,0,0
140,59,Non-Travel,1420,Human Resources,2,Female,32,5,Manager,Married,18844,21922,No,21,4,80,1,3,2,2,2
141,50,Travel_Frequently,1115,Research & Development,1,Female,73,5,Research Director,Married,18172,9755,Yes,19,3,80,0,8,3,0,7
142,25,Travel_Rarely,240,Sales,5,Male,46,2,Sales Executive,Single,5744,26959,Yes,11,3,80,0,6,4,0,3
143,25,Travel_Rarely,1280,Research & Development,7,Male,64,1,Research Scientist,Married,2889,26897,No,11,3,80,2,2,2,2,1
144,22,Travel_Rarely,534,Research & Development,15,Female,59,1,Technician,Single,2871,23785,No,15,3,80,0,0,0,0,0
145,51,Travel_Frequently,1456,Research & Development,1,Female,30,3,Brand Representative,Single,7484,25796,No,20,4,80,0,13,12,12,8
147,34,Travel_Frequently,658,Research & Development,7,Male,66,2,Technician,Single,6074,22887,Yes,24,4,80,0,9,7,0,6
148,54,Non-Travel,142,Human Resources,26,Female,30,4,Manager,Single,17328,13871,Yes,12,3,80,0,5,3,4,4
150,24,Travel_Rarely,1127,Research & Development,18,Male,52,1,Technician,Married,2774,13257,No,12,3,80,1,5,3,1,2
151,34,Travel_Rarely,1031,Research & Development,6,Female,45,2,Research Scientist,Divorced,4505,15000,No,15,3,80,1,1,0,0,0
152,37,Travel_Rarely,1189,Sales,3,Male,87,3,Sales Executive,Single,7428,14506,No,12,3,80,0,5,3,1,3
153,34,Travel_Rarely,1354,Research & Development,5,Female,45,3,Manager,Single,11631,5615,No,12,3,80,0,11,10,5,8
154,36,Travel_Frequently,1467,Sales,11,Female,92,3,Sales Executive,Married,9738,22952,No,14,3,80,1,9,7,2,8
155,36,Travel_Rarely,922,Research & Development,3,Female,39,1,Technician,Divorced,2835,2561,No,22,4,80,1,1,0,0,0
158,43,Travel_Frequently,394,Sales,26,Male,92,4,Manager,Married,16959,19494,Yes,12,3,80,2,25,12,4,12
159,30,Travel_Frequently,1312,Research & Development,23,Male,96,1,Research Scientist,Divorced,2613,22310,No,25,4,80,3,10,7,0,9
160,33,Non-Travel,750,Sales,22,Male,95,2,Sales Executive,Married,6146,15480,No,13,3,80,1,7,7,0,7
161,56,Travel_Rarely,441,Research & Development,14,Female,72,1,Research Scientist,Married,4963,4510,Yes,18,3,80,3,5,4,4,3
162,51,Travel_Rarely,684,Research & Development,6,Male,51,5,Research Director,Single,19537,6462,No,13,3,80,0,20,18,15,15
163,31,Travel_Rarely,249,Sales,6,Male,76,2,Sales Executive,Married,6172,20739,Yes,18,3,80,0,7,7,7,7
164,26,Travel_Rarely,841,Research & Development,6,Female,46,1,Research Scientist,Married,2368,23300,No,19,3,80,0,5,4,4,3
165,58,Travel_Rarely,147,Research & Development,23,Female,94,3,Brand Representative,Married,10312,3465,No,12,3,80,1,40,10,15,6
167,19,Travel_Rarely,528,Sales,22,Male,50,1,Sales Representative,Single,1675,26820,Yes,19,3,80,0,0,0,0,0
169,22,Travel_Rarely,594,Research & Development,2,Male,100,1,Technician,Married,2523,19299,No,14,3,80,1,2,1,2,1
170,49,Travel_Rarely,470,Research & Development,20,Female,96,2,Marketing Director,Married,6567,5549,No,14,3,80,0,15,11,5,11
171,43,Travel_Frequently,957,Research & Development,28,Female,72,1,Research Scientist,Single,4739,16090,No,12,3,80,0,3,2,1,2
174,50,Travel_Frequently,809,Sales,12,Female,77,3,Sales Executive,Single,9208,6645,No,11,3,80,0,2,2,2,1
175,31,Travel_Rarely,542,Sales,20,Female,71,2,Sales Executive,Married,4559,24788,Yes,11,3,80,1,2,2,2,2
176,41,Travel_Rarely,802,Sales,9,Male,96,3,Sales Executive,Divorced,8189,21196,Yes,13,3,80,1,9,7,0,7
177,26,Travel_Rarely,1355,Human Resources,25,Female,61,1,Human Resources,Married,2942,8916,No,23,4,80,1,8,7,5,7
178,36,Travel_Rarely,216,Research & Development,6,Male,84,2,Marketing Director,Divorced,4941,2819,No,20,4,80,2,3,2,0,1
179,51,Travel_Frequently,1150,Research & Development,8,Male,53,3,Marketing Director,Single,10650,25150,No,15,3,80,0,4,2,0,3
182,39,Travel_Rarely,1329,Sales,4,Female,47,2,Sales Executive,Married,5902,14590,No,14,3,80,1,15,11,5,9
183,25,Travel_Rarely,959,Sales,28,Male,41,2,Sales Executive,Married,8639,24835,No,18,3,80,0,2,2,2,2
184,30,Travel_Rarely,1240,Human Resources,9,Male,48,2,Human Resources,Married,6347,13982,Yes,19,3,80,0,11,9,4,7
190,32,Travel_Rarely,1033,Research & Development,9,Female,41,1,Technician,Single,4200,10224,No,22,4,80,0,5,4,0,4
192,45,Travel_Rarely,1316,Research & Development,29,Male,83,1,Research Scientist,Single,3452,9752,No,13,3,80,0,6,5,0,3
193,38,Travel_Rarely,364,Research & Development,3,Female,32,2,Research Scientist,Single,4317,2302,Yes,20,4,80,0,3,2,2,2
194,30,Travel_Rarely,438,Research & Development,18,Female,75,1,Research Scientist,Single,2632,23910,No,14,3,80,0,5,4,0,4
195,32,Travel_Frequently,689,Sales,9,Male,35,2,Sales Executive,Divorced,4668,22812,No,17,3,80,3,8,7,0,7
197,30,Travel_Rarely,201,Research & Development,5,Female,84,1,Research Scientist,Divorced,3204,10415,No,14,3,80,1,3,2,2,2
198,30,Travel_Rarely,1427,Research & Development,2,Male,35,1,Technician,Single,2720,11162,No,13,3,80,0,5,3,1,2
199,41,Travel_Frequently,857,Research & Development,10,Male,91,4,Manager,Divorced,17181,12888,No,13,3,80,1,7,6,7,7
200,41,Travel_Rarely,933,Research & Development,9,Male,94,1,Technician,Married,2238,6961,No,21,4,80,1,5,0,1,4
201,19,Travel_Rarely,1181,Research & Development,3,Female,79,1,Technician,Single,1483,16102,No,14,3,80,0,1,0,0,0
202,40,Travel_Frequently,1395,Research & Development,26,Female,54,2,Research Scientist,Divorced,5605,8504,No,11,3,80,1,20,7,2,13
204,35,Travel_Rarely,662,Sales,1,Male,94,3,Sales Executive,Married,7295,11439,No,13,3,80,2,10,8,0,6
205,53,Travel_Rarely,1436,Sales,6,Male,34,2,Sales Representative,Married,2306,16047,Yes,20,4,80,1,7,7,4,5
206,45,Travel_Rarely,194,Research & Development,9,Male,60,2,Technician,Divorced,2348,10901,No,18,3,80,1,17,9,0,15
207,32,Travel_Frequently,967,Sales,8,Female,43,3,Sales Executive,Single,8998,15589,No,14,3,80,0,9,8,3,7
208,29,Non-Travel,1496,Research & Development,1,Male,41,2,Marketing Director,Married,4319,26283,No,13,3,80,1,10,7,0,9
211,51,Travel_Rarely,1169,Research & Development,7,Male,34,2,Marketing Director,Married,6132,13983,No,17,3,80,0,1,0,0,0
214,58,Travel_Rarely,1145,Research & Development,9,Female,75,1,Research Scientist,Married,3346,11873,Yes,20,4,80,1,1,0,0,0
215,40,Travel_Rarely,630,Sales,4,Male,67,3,Sales Executive,Married,10855,8552,No,11,3,80,1,12,11,2,11
216,34,Travel_Frequently,303,Sales,2,Female,75,1,Sales Representative,Married,2231,11314,No,18,3,80,1,4,3,1,2
217,22,Travel_Rarely,1256,Research & Development,19,Male,80,1,Research Scientist,Married,2323,11992,No,24,4,80,2,2,2,2,2
218,27,Non-Travel,691,Research & Development,9,Male,57,1,Research Scientist,Divorced,2024,5970,No,18,3,80,1,2,2,2,2
221,28,Travel_Rarely,440,Research & Development,21,Male,42,1,Research Scientist,Married,2713,6672,No,11,3,80,1,5,2,0,2
223,57,Travel_Rarely,334,Research & Development,24,Male,83,3,Brand Representative,Divorced,9439,23402,Yes,16,3,80,1,5,3,1,4
224,27,Non-Travel,1450,Research & Development,3,Male,79,1,Research Scientist,Divorced,2566,25326,Yes,15,3,80,1,1,1,0,1
226,50,Travel_Rarely,1452,Research & Development,11,Female,53,5,Manager,Single,19926,17053,No,15,3,80,0,5,4,4,4
227,41,Travel_Rarely,465,Research & Development,14,Male,56,1,Research Scientist,Divorced,2451,4609,No,12,3,80,1,9,8,1,8
228,30,Travel_Rarely,1339,Sales,5,Female,41,3,Sales Executive,Married,9419,8053,No,12,3,80,1,10,9,7,4
230,38,Travel_Rarely,702,Sales,1,Female,59,2,Sales Executive,Single,8686,12930,No,22,4,80,0,8,3,0,7
231,32,Travel_Rarely,120,Research & Development,6,Male,43,1,Research Scientist,Single,3038,12430,No,20,4,80,0,5,4,1,4
233,27,Travel_Rarely,1157,Research & Development,17,Male,51,1,Research Scientist,Married,3058,13364,Yes,16,3,80,1,5,2,1,1
235,19,Travel_Frequently,602,Sales,1,Female,100,1,Sales Representative,Single,2325,20989,No,21,4,80,0,0,0,0,0
238,36,Travel_Frequently,1480,Research & Development,3,Male,30,1,Technician,Single,2088,15062,No,12,3,80,0,8,7,7,2
239,30,Non-Travel,111,Research & Development,9,Male,66,2,Technician,Divorced,3072,11012,No,11,3,80,2,12,9,6,10
240,45,Travel_Rarely,1268,Sales,4,Female,30,2,Sales Executive,Divorced,5006,6319,Yes,11,3,80,1,5,4,0,3
241,56,Travel_Rarely,713,Research & Development,8,Female,67,1,Research Scientist,Divorced,4257,13939,Yes,18,3,80,1,2,2,2,2
242,33,Travel_Rarely,134,Research & Development,2,Male,90,1,Research Scientist,Single,2500,10515,No,14,3,80,0,3,1,0,2
243,19,Travel_Rarely,303,Research & Development,2,Male,47,1,Technician,Single,1102,9241,No,22,4,80,0,1,0,1,0
244,46,Travel_Rarely,526,Sales,1,Female,92,3,Sales Executive,Divorced,10453,2137,No,25,4,80,3,24,13,15,7
245,38,Travel_Rarely,1380,Research & Development,9,Female,75,1,Technician,Single,2288,6319,No,12,3,80,0,2,2,2,1
246,31,Travel_Rarely,140,Research & Development,12,Female,95,1,Research Scientist,Married,3929,6984,Yes,23,4,80,1,4,2,0,2
247,34,Travel_Rarely,629,Research & Development,27,Female,95,1,Research Scientist,Single,2311,5711,No,15,3,80,0,3,2,1,2
248,41,Travel_Rarely,1356,Sales,20,Female,70,1,Sales Representative,Single,3140,21728,Yes,22,4,80,0,4,3,0,2
249,50,Travel_Rarely,328,Research & Development,1,Male,86,1,Technician,Married,3690,3425,No,15,3,80,1,3,2,0,2
250,53,Travel_Rarely,1084,Research & Development,13,Female,57,2,Marketing Director,Divorced,4450,26250,No,11,3,80,2,4,2,1,3
252,33,Travel_Rarely,931,Research & Development,14,Female,72,1,Research Scientist,Married,2756,4673,No,13,3,80,1,8,7,1,6
253,40,Travel_Rarely,989,Research & Development,4,Female,46,5,Manager,Married,19033,6499,No,14,3,80,1,20,8,9,9
254,55,Travel_Rarely,692,Research & Development,14,Male,61,5,Research Director,Single,18722,13339,No,11,3,80,0,24,15,2,15
256,34,Travel_Frequently,1069,Research & Development,2,Male,45,2,Marketing Director,Married,9547,14074,No,17,3,80,0,10,9,1,9
258,51,Travel_Rarely,313,Research & Development,3,Female,98,4,Brand Representative,Single,13734,7192,No,18,3,80,0,7,7,1,0
259,52,Travel_Rarely,699,Research & Development,1,Male,65,5,Manager,Married,19999,5678,No,14,3,80,1,33,18,11,9
260,27,Travel_Rarely,894,Research & Development,9,Female,99,1,Research Scientist,Single,2279,11781,No,16,3,80,0,7,7,0,3
261,35,Travel_Rarely,556,Research & Development,23,Male,50,2,Marketing Director,Married,5916,15497,Yes,13,3,80,0,1,0,0,1
262,43,Non-Travel,1344,Research & Development,7,Male,37,1,Research Scientist,Divorced,2089,5228,No,14,3,80,3,5,4,2,2
264,45,Non-Travel,1195,Research & Development,2,Male,65,4,Manager,Married,16792,20462,No,23,4,80,1,20,8,11,8
267,37,Travel_Rarely,290,Research & Development,21,Male,65,1,Research Scientist,Married,3564,22977,Yes,12,3,80,1,8,7,1,7
269,35,Travel_Frequently,138,Research & Development,2,Female,37,2,Technician,Single,4425,15986,No,11,3,80,0,6,2,1,2
270,42,Non-Travel,926,Research & Development,21,Female,36,2,Marketing Director,Divorced,5265,16439,No,16,3,80,1,5,3,0,2
271,38,Travel_Rarely,1261,Research & Development,2,Male,88,2,Marketing Director,Married,6553,7259,No,14,3,80,0,1,0,0,0
273,38,Travel_Rarely,1084,Research & Development,29,Male,54,2,Marketing Director,Married,6261,4185,No,18,3,80,1,7,7,1,7
274,27,Travel_Frequently,472,Research & Development,1,Male,60,2,Marketing Director,Married,4298,9679,No,19,3,80,1,2,2,2,0
275,49,Non-Travel,1002,Research & Development,18,Male,92,2,Marketing Director,Divorced,6804,23793,Yes,15,3,80,2,7,7,1,7
277,34,Travel_Frequently,878,Research & Development,10,Male,43,1,Research Scientist,Divorced,3815,5972,Yes,17,3,80,1,5,3,2,0
281,40,Travel_Rarely,905,Research & Development,19,Male,99,2,Technician,Married,2741,16523,Yes,15,3,80,1,7,2,3,7
282,38,Travel_Rarely,1180,Research & Development,29,Male,70,2,Brand Representative,Married,6673,11354,Yes,19,3,80,0,1,0,0,0
283,29,Travel_Rarely,121,Sales,27,Female,35,3,Sales Executive,Married,7639,24525,No,22,4,80,3,10,4,1,9
284,22,Travel_Rarely,1136,Research & Development,5,Male,60,1,Research Scientist,Divorced,2328,12392,Yes,16,3,80,1,4,2,2,2
286,36,Travel_Frequently,635,Research & Development,18,Female,73,1,Technician,Single,2153,7703,No,13,3,80,0,8,1,1,7
287,40,Non-Travel,1151,Research & Development,9,Male,63,2,Brand Representative,Married,4876,14242,No,14,3,80,1,3,2,0,2
288,46,Travel_Rarely,644,Research & Development,1,Male,97,3,Brand Representative,Divorced,9396,12368,No,16,3,80,1,4,2,0,3
291,32,Travel_Rarely,1045,Sales,4,Male,32,3,Sales Executive,Married,10400,25812,No,11,3,80,0,14,8,9,8
292,30,Non-Travel,829,Research & Development,1,Male,88,3,Marketing Director,Single,8474,20925,No,22,4,80,0,11,8,5,8
293,27,Travel_Frequently,1242,Sales,20,Female,90,2,Sales Executive,Single,9981,12916,No,14,3,80,0,7,7,0,7
296,51,Travel_Rarely,1469,Research & Development,8,Male,81,3,Research Director,Married,12490,15736,No,16,3,80,2,10,9,4,7
