EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance
382,1,4,1,3,3,3
384,3,3,2,1,6,1
385,1,3,2,1,4,2
386,3,3,3,4,5,2
387,2,3,3,3,3,3
388,2,3,4,1,3,2
389,2,3,4,4,4,3
390,1,3,1,3,3,3
391,4,3,4,2,3,3
392,4,3,3,4,0,1
393,4,3,4,2,2,3
394,1,3,2,4,2,3
395,4,3,4,4,3,3
396,3,3,1,4,4,3
397,3,3,2,4,2,3
399,4,3,2,3,5,2
401,4,2,4,2,0,3
403,2,3,4,3,3,2
404,3,3,2,4,2,4
405,3,3,3,3,2,3
406,3,3,2,3,3,2
407,3,4,4,4,2,3
408,4,1,2,4,3,3
410,4,3,2,2,2,3
411,4,2,3,1,2,3
412,2,4,1,3,2,3
416,2,4,4,2,3,2
417,3,4,4,1,5,2
419,2,3,2,3,3,3
420,4,2,3,3,3,2
421,1,2,2,3,2,3
422,4,1,3,4,2,3
423,3,3,4,3,4,3
424,1,2,1,4,1,3
425,1,3,1,1,2,3
426,3,3,4,2,2,1
428,4,3,2,2,2,3
429,3,3,1,4,3,3
430,3,3,4,1,5,3
431,3,2,3,4,2,3
433,3,2,2,1,3,2
434,3,3,2,2,2,2
436,3,2,2,4,2,3
437,4,3,3,1,3,3
438,4,3,4,4,3,3
439,1,4,4,3,0,2
440,1,1,4,4,4,2
441,4,3,4,4,2,3
442,3,2,3,1,2,3
444,3,2,4,1,2,3
445,4,3,3,1,3,2
446,2,2,4,3,6,2
447,4,3,3,2,2,3
448,3,2,3,2,3,4
449,3,3,2,4,0,3
450,4,3,3,4,4,2
451,3,3,1,1,1,2
452,4,3,4,1,3,3
453,2,1,4,3,2,2
454,2,1,1,4,4,2
455,2,2,4,3,2,3
456,4,2,3,3,2,3
458,2,3,2,1,3,3
460,4,3,4,3,2,2
461,3,2,4,2,3,3
462,3,3,4,3,2,2
463,4,2,2,1,2,3
464,3,3,2,4,5,3
465,3,3,4,3,2,2
466,4,2,2,4,3,3
467,2,3,3,1,3,3
468,1,3,4,2,2,3
469,4,3,3,1,3,2
470,3,3,3,3,5,3
471,3,3,2,3,4,3
473,1,3,3,2,3,1
474,3,4,1,1,2,3
475,4,3,3,2,2,4
476,3,3,3,2,3,3
477,1,2,4,2,6,3
478,1,2,2,3,3,3
479,4,3,4,2,6,3
481,1,2,4,1,2,3
482,4,3,3,3,2,3
483,4,4,3,3,3,3
484,1,3,4,3,3,2
485,4,3,3,2,2,3
486,3,3,1,2,3,3
487,3,3,3,3,2,4
488,1,3,2,3,5,3
491,4,2,4,4,2,3
492,3,2,3,1,6,3
493,3,2,2,4,5,3
494,3,4,2,4,0,3
495,4,3,4,4,4,3
496,3,2,2,3,5,3
497,4,3,2,2,2,3
498,2,3,4,4,1,3
499,2,2,3,3,2,3
500,3,3,4,3,2,2
501,4,3,3,2,3,3
502,1,4,4,2,3,2
505,3,3,4,3,2,3
507,4,3,3,4,2,4
508,3,3,2,1,3,3
510,3,3,1,3,2,3
511,1,3,2,4,1,3
513,2,2,3,2,2,3
514,3,3,4,3,4,3
515,4,3,1,3,2,2
516,4,3,2,3,5,3
517,2,3,1,2,5,3
518,3,3,2,4,2,2
520,1,2,2,3,3,3
521,2,2,3,2,3,3
522,1,3,1,3,4,2
523,3,3,3,1,3,3
524,2,3,1,2,5,1
525,4,3,4,1,1,3
526,3,3,3,4,3,3
527,2,2,4,2,3,3
529,2,3,3,1,2,3
530,4,2,1,3,3,3
531,2,3,3,3,3,3
532,3,4,1,4,0,2
533,2,3,3,2,6,3
534,2,4,1,3,2,3
536,3,3,1,4,2,3
538,1,3,1,3,5,3
543,4,2,3,3,4,3
544,1,3,4,4,3,2
546,4,3,4,4,2,1
547,1,3,3,2,3,3
548,3,1,4,3,2,3
549,1,3,1,4,5,1
550,3,3,3,3,5,2
551,4,2,4,4,4,4
554,1,3,2,2,4,3
555,4,1,3,4,3,2
556,4,3,4,3,3,3
558,3,3,3,4,2,3
560,1,3,4,2,3,1
562,3,3,4,3,3,1
564,2,2,3,3,2,3
565,3,2,2,2,2,4
566,1,2,4,3,3,4
567,3,3,1,3,3,3
568,1,2,4,3,3,2
569,2,2,3,2,2,3
571,3,3,4,3,2,2
573,3,2,1,4,5,4
574,1,3,4,3,2,3
575,1,3,3,3,2,1
577,4,1,3,3,2,3
578,3,3,3,3,3,3
579,4,2,3,3,3,3
580,3,2,4,3,3,3
581,3,3,2,4,6,4
582,2,3,3,4,2,4
584,1,1,4,1,2,3
585,4,3,2,1,3,3
586,4,3,3,3,2,3
587,1,3,3,1,2,3
590,2,3,1,3,2,3
591,2,3,3,4,4,3
592,2,3,4,4,3,2
593,3,2,3,3,3,3
595,2,3,4,1,2,3
597,1,3,2,4,2,3
599,4,3,4,4,3,3
600,2,3,3,3,2,3
601,2,3,3,3,3,3
602,3,3,3,1,3,3
604,2,3,4,3,2,4
605,4,3,1,4,5,2
606,4,3,2,2,3,4
608,2,3,3,2,2,2
611,4,3,4,2,2,4
612,1,4,3,3,2,3
613,3,2,4,3,3,2
614,2,3,2,4,3,3
615,3,1,1,3,2,3
616,1,2,3,1,3,3
618,1,3,3,1,5,3
620,1,3,3,4,3,3
621,4,4,4,4,3,3
622,3,1,4,2,3,1
623,2,3,4,4,3,4
624,1,3,3,4,3,2
625,2,3,1,2,2,3
626,1,3,2,4,6,3
630,4,3,1,2,3,3
631,4,4,3,4,2,3
632,4,3,4,3,3,3
634,3,3,3,3,4,3
635,2,3,2,2,2,2
638,4,2,3,3,5,3
639,2,4,4,2,3,3
641,1,3,2,4,5,4
643,4,2,2,4,2,3
644,1,3,2,3,2,3
645,2,3,3,3,1,3
647,1,3,3,4,4,3
648,2,2,1,3,2,4
649,2,2,4,4,3,3
650,2,3,1,3,2,1
652,1,2,4,4,3,3
653,1,4,4,4,4,4
655,1,2,3,3,5,2
656,4,3,3,3,3,2
657,4,2,2,4,0,4
659,3,3,4,2,4,3
661,2,2,4,3,3,2
662,3,3,1,4,3,2
663,4,3,3,2,3,3
664,4,2,1,1,3,1
665,1,2,3,2,1,4
666,3,3,3,4,3,3
667,3,3,1,2,3,3
669,3,3,3,3,2,3
671,4,3,4,1,2,4
675,1,3,3,4,3,3
677,3,3,3,4,3,3
679,1,3,4,4,2,2
680,3,3,3,3,2,3
682,4,3,1,4,2,4
683,2,3,4,4,4,2
684,1,3,1,4,4,3
686,3,3,4,3,2,3
689,3,3,3,3,2,3
690,2,3,3,1,5,2
691,2,1,4,2,3,3
692,3,3,4,3,2,1
698,3,3,2,3,1,4
699,2,2,2,3,2,3
700,1,2,4,4,0,3
701,4,3,3,4,5,3
702,1,3,1,1,3,3
704,3,2,3,3,3,3
705,1,4,1,1,3,4
707,4,4,2,3,4,3
709,4,2,4,1,2,3
710,2,1,4,4,5,3
712,2,4,2,4,3,3
714,4,4,4,2,3,3
715,4,4,4,1,2,3
716,4,4,3,3,3,3
717,4,2,2,2,3,4
720,1,3,3,1,3,3
721,4,2,3,1,4,3
722,4,3,4,4,2,2
723,2,3,3,1,4,3
724,2,4,4,3,4,2
725,3,3,1,4,3,3
727,3,3,4,4,6,3
728,4,3,1,4,2,3
729,4,2,1,3,2,3
730,3,4,3,3,3,3
731,2,2,4,2,2,2
732,1,3,1,4,1,3
733,4,3,1,3,4,2
734,4,2,3,2,3,3
738,4,3,2,4,2,3
741,1,1,2,4,4,3
742,1,4,1,1,2,3
743,3,3,3,4,4,4
744,1,1,3,3,5,3
746,4,3,3,4,2,2
747,3,3,4,4,2,2
749,3,3,3,3,6,3
752,3,4,3,4,2,3
754,4,2,4,3,5,3
757,2,3,3,4,2,3
758,2,3,1,4,2,4
760,3,4,2,3,3,1
762,3,3,4,3,1,2
763,4,2,4,4,2,2
764,4,2,1,1,2,1
766,4,3,2,4,2,3
769,4,3,4,4,4,3
771,4,3,1,1,2,4
772,1,3,4,4,2,3
773,4,3,3,2,0,1
775,2,3,1,3,3,3
776,3,2,1,1,3,4
780,4,3,4,3,2,2
781,3,3,4,2,5,2
783,2,1,3,1,3,3
784,1,4,3,4,3,3
785,2,4,3,4,2,3
786,4,3,4,3,5,3
787,4,3,1,4,2,3
789,1,2,1,2,1,3
791,4,3,4,1,3,3
792,1,1,4,1,2,3
793,2,3,3,1,3,2
796,4,2,1,3,2,2
797,2,4,4,3,2,3
799,4,3,1,2,4,3
800,3,3,4,2,3,3
802,4,3,1,2,3,2
803,1,4,1,4,2,3
804,3,2,1,3,3,3
805,1,3,4,2,1,2
806,4,1,3,3,2,3
807,3,4,2,4,2,3
808,3,3,1,2,1,3
809,2,3,4,2,4,2
811,3,4,1,3,2,3
812,3,2,2,3,4,3
813,4,3,3,2,3,3
815,3,3,3,4,3,3
816,2,2,1,4,1,3
817,3,3,3,4,3,4
819,1,3,1,3,3,3
820,3,3,4,3,3,2
823,3,3,2,1,2,3
824,3,4,3,3,3,3
825,4,3,2,4,2,3
826,4,4,3,3,0,3
827,4,2,4,4,4,3
828,3,3,3,4,3,2
829,3,3,2,2,2,3
830,3,2,3,3,3,3
832,1,2,3,4,6,3
833,3,2,4,2,4,2
834,2,2,3,4,3,3
836,2,3,2,4,3,2
837,1,2,1,3,3,2
838,3,2,4,3,3,3
840,3,3,4,1,3,4
842,3,3,4,3,3,2
843,2,3,1,3,3,3
844,3,2,4,2,3,3
845,3,3,3,2,3,4
846,2,3,2,1,2,3
847,3,3,4,3,1,1
848,3,2,3,1,2,3
850,4,3,4,3,6,2
851,1,3,3,3,2,2
852,4,3,2,4,2,2
854,1,4,1,3,3,2
855,1,4,1,1,5,3
856,3,2,1,4,3,2
857,2,3,4,4,1,2
859,2,3,4,3,3,2
861,2,2,4,2,3,2
862,1,2,4,4,3,3
864,4,3,1,3,2,3
865,3,4,3,3,3,2
867,3,2,4,3,3,3
868,4,2,3,4,2,3
869,2,2,4,4,6,3
872,4,2,4,1,2,1
874,1,4,4,3,2,2
875,2,3,4,4,2,3
878,1,2,1,3,3,3
879,3,3,1,4,3,3
880,4,2,3,2,2,3
881,4,3,2,1,3,2
882,4,3,4,2,2,3
885,3,2,1,1,1,4
887,3,3,1,2,2,3
888,1,2,4,4,2,2
889,2,3,2,4,3,3
893,2,2,2,4,3,3
894,3,4,4,2,1,2
895,4,3,4,2,2,3
896,2,2,3,3,3,3
897,1,3,4,3,3,3
899,4,2,2,1,2,3
900,3,3,4,2,3,3
901,4,3,4,3,0,3
902,4,3,4,2,2,2
903,3,3,4,1,2,3
904,1,3,2,4,2,3
905,1,3,1,4,3,3
909,4,2,4,3,2,3
910,4,3,2,3,4,4
911,1,3,4,3,2,1
912,1,2,4,3,5,3
913,2,3,1,4,0,3
916,1,3,4,2,3,3
918,4,2,4,4,3,2
920,1,3,2,3,2,4
922,3,2,3,4,3,2
923,4,3,4,1,3,2
924,3,3,4,1,2,2
925,4,2,4,1,3,2
926,2,3,3,1,3,4
927,2,1,4,3,1,2
930,3,3,3,2,2,3
932,4,3,1,4,2,1
933,2,3,3,3,2,3
934,2,3,2,2,3,3
936,3,2,3,1,6,3
939,3,2,1,2,1,3
940,3,2,2,4,3,3
941,2,2,3,2,2,4
942,4,3,4,4,2,1
944,1,3,2,3,3,2
945,4,3,3,1,2,2
947,4,3,3,4,2,2
949,2,3,4,3,6,3
950,4,3,1,2,3,3
951,3,2,2,3,3,3
952,3,2,2,3,2,3
954,1,2,2,2,2,2
956,3,2,1,2,2,3
957,4,3,1,3,3,3
958,3,3,3,3,6,3
959,4,2,2,2,3,4
960,1,3,1,2,2,3
961,4,3,4,3,2,1
964,4,3,2,4,2,3
966,3,3,1,3,2,4
967,3,2,4,1,6,3
969,2,2,4,1,3,3
970,1,2,3,3,2,1
972,3,3,2,2,5,2
974,3,3,4,2,5,3
975,3,3,3,2,3,3
976,4,3,4,2,2,2
977,4,3,3,1,4,3
981,3,3,3,3,3,4
982,3,3,3,1,2,4
983,3,3,4,2,1,3
984,4,3,4,2,2,3
985,1,4,3,4,3,3
986,2,4,2,4,2,2
987,3,4,3,3,3,4
990,1,3,4,4,3,3
991,3,2,1,1,0,3
992,4,3,3,4,2,3
994,4,2,1,3,5,3
995,2,3,4,1,4,3
996,4,3,4,4,2,3
997,4,3,4,3,1,2
998,3,4,2,1,2,3
999,1,3,3,2,2,4
1001,3,3,2,2,2,3
1002,4,3,1,3,2,3
1003,4,3,4,3,0,3
1004,1,3,3,2,2,3
1005,4,3,3,4,2,3
1006,3,3,3,2,0,2
1007,4,3,3,2,3,3
1009,4,2,3,2,6,3
1010,3,2,2,4,2,1
1011,3,3,1,3,1,3
1012,2,3,4,4,2,3
1013,3,3,3,3,2,3
1014,3,3,3,3,3,2
1015,2,4,1,3,4,2
1016,4,2,1,1,2,3
1017,2,3,2,1,3,3
1018,4,4,4,2,2,3
1019,2,1,1,1,3,2
1022,1,2,3,4,0,3
1024,3,2,3,2,3,3
1025,4,3,3,2,6,3
1026,4,2,4,3,3,3
1027,1,3,4,2,2,3
1028,2,3,4,1,4,2
1029,4,3,3,2,3,4
1030,1,3,4,2,5,3
1032,3,2,4,1,4,3
1033,1,1,2,1,2,1
1034,3,3,2,4,3,3
1035,2,1,3,2,3,3
1036,2,3,4,3,1,3
1037,2,1,1,4,6,3
1038,1,1,4,4,3,3
1039,4,4,4,3,2,3
1040,4,3,3,1,3,3
1042,3,4,1,3,1,3
1043,4,3,1,3,2,3
1044,2,2,4,4,2,2
1045,4,3,4,2,4,4
1046,4,3,3,2,2,3
1047,2,4,4,4,2,2
1048,2,3,4,3,1,1
1049,2,3,2,1,3,3
1050,3,2,2,1,2,3
1052,1,3,3,2,3,2
1053,1,3,1,2,2,3
1055,3,3,3,4,2,3
1056,4,3,2,2,5,3
1060,3,3,3,1,2,3
1061,2,3,3,4,2,2
1062,4,3,2,1,3,2
1066,3,3,1,2,3,2
1068,1,2,3,3,5,3
1069,4,3,4,4,0,3
1070,3,2,3,2,4,3
1071,1,3,3,2,4,3
1073,4,2,4,2,2,2
1074,3,2,1,2,3,4
1076,3,2,4,3,5,3
1077,4,3,4,2,3,3
1079,3,2,1,1,6,2
1080,4,2,1,1,2,3
1081,1,3,3,3,2,4
1082,2,2,1,1,2,2
1083,1,2,1,1,2,3
1084,3,3,1,3,1,2
1085,2,4,3,3,3,3
1088,3,2,3,1,4,2
1092,1,3,4,4,6,3
1094,1,1,3,4,4,3
1096,4,3,2,2,4,3
1097,3,3,3,4,4,4
1098,2,2,1,4,1,3
1099,4,2,4,3,2,3
1100,4,3,1,1,2,3
1101,1,2,3,2,4,3
1102,1,3,3,4,5,2
1103,1,3,4,3,1,2
1105,4,2,4,3,5,3
1106,4,3,4,2,3,4
1107,1,3,3,3,0,2
1108,1,2,2,2,0,3
1109,4,3,1,4,3,3
1111,1,2,2,1,2,3
1113,4,3,3,4,4,3
1114,4,3,2,3,3,3
1115,3,2,4,4,2,3
1116,1,4,4,3,3,2
1117,2,2,3,4,2,3
1118,2,3,2,4,4,3
1119,3,2,3,2,2,3
1120,3,3,4,1,1,3
1121,4,3,2,2,3,2
1124,1,3,3,4,3,3
1125,4,3,2,3,2,3
1126,3,3,1,3,1,3
1127,1,3,4,4,4,3
1128,3,2,3,1,2,4
1131,4,2,2,3,6,4
1132,3,3,2,3,2,2
1133,1,3,4,1,0,3
1135,3,4,4,1,4,3
1136,1,2,2,1,2,1
1137,4,3,4,4,3,3
1138,4,2,2,2,3,3
1140,4,3,3,4,3,2
1143,4,3,2,4,2,2
1148,2,1,4,1,3,3
1150,2,2,4,3,2,2
1152,3,4,3,4,2,4
1154,3,2,3,4,2,3
1156,3,3,3,4,0,3
1157,1,3,1,1,3,3
1158,2,3,4,1,4,3
1160,3,3,3,3,5,2
1161,3,2,4,3,2,3
1162,4,2,3,3,0,3
1163,2,3,3,1,3,2
1164,3,3,3,2,2,1
1165,4,2,1,1,3,1
1166,2,3,3,3,3,2
1167,3,3,1,2,2,2
1171,2,3,1,4,3,4
1172,4,2,3,2,2,3
1173,4,3,2,4,2,3
1175,3,3,4,4,4,2
1177,1,4,4,2,2,3
1179,3,2,3,1,3,3
1180,3,2,4,4,3,1
1182,3,2,2,2,2,4
1184,4,2,1,3,3,3
1185,4,2,4,2,2,4
1188,1,1,3,2,2,2
1190,3,3,1,3,3,3
1191,4,3,1,4,2,3
1192,2,3,4,1,5,3
1193,3,3,1,3,4,3
1195,1,3,3,3,2,2
1196,4,2,4,2,2,2
1198,1,2,3,1,2,2
1200,3,3,3,3,4,3
1201,4,3,3,2,6,3
1202,2,1,4,1,2,2
1203,3,2,4,2,5,3
1204,3,3,1,1,2,3
1206,4,1,3,4,3,3
1207,2,3,3,4,2,3
1210,1,2,1,1,2,1
1211,3,3,1,3,3,3
1212,2,3,2,4,2,3
1215,4,3,1,3,3,3
1216,4,2,1,3,2,3
1217,4,3,2,1,2,3
1218,3,3,1,4,2,3
1219,4,3,2,1,3,1
1220,2,3,3,1,3,2
1221,3,1,3,3,4,3
1224,3,3,3,1,4,2
1225,4,3,4,2,3,3
1226,3,4,4,4,2,3
1228,4,3,4,3,3,2
1231,4,4,1,1,3,4
1233,2,4,4,2,3,3
1234,3,2,2,3,2,3
1235,4,3,3,4,2,3
1237,3,1,1,3,2,3
1238,1,3,4,2,5,3
1239,2,2,2,2,2,4
1240,3,3,4,2,4,3
1241,4,3,2,1,2,3
1242,1,3,1,3,6,3
1243,3,2,4,2,6,2
1244,1,3,1,4,3,2
1245,4,3,3,1,2,1
1246,1,4,4,4,5,3
1248,1,2,2,2,2,4
1249,1,3,4,1,5,3
1250,4,3,4,1,2,3
1251,3,3,1,4,2,2
1252,3,2,1,2,2,3
1254,3,2,4,4,2,3
1255,3,1,4,2,2,3
1256,1,2,3,3,2,4
1257,3,3,2,3,2,2
1258,4,4,2,3,4,2
1259,1,3,3,2,2,3
1260,3,3,4,2,2,3
1263,4,2,4,3,3,4
1264,4,2,4,2,2,2
1265,3,4,3,4,5,2
1267,2,3,2,3,5,3
1268,4,4,3,4,3,3
1269,2,4,4,4,2,3
1270,4,3,3,4,2,3
1273,3,1,4,4,4,3
1275,3,3,4,2,2,2
1277,1,1,2,1,2,3
1278,4,2,2,4,3,3
1279,1,2,3,3,2,1
1280,4,2,2,3,2,3
1281,3,3,1,4,3,3
1282,4,3,2,1,5,2
1283,4,3,4,4,6,2
1285,3,3,2,3,2,4
1286,4,3,3,3,2,2
1288,3,4,1,4,4,2
1289,3,2,2,4,5,4
1291,3,3,3,4,3,3
1292,2,4,2,4,2,3
1293,4,2,4,4,3,4
1294,3,3,2,4,2,3
1295,1,3,4,4,2,3
1296,4,2,4,2,2,3
1297,2,2,3,2,6,2
1298,3,3,3,3,3,3
1299,2,3,3,1,2,3
1301,4,3,1,2,2,2
1303,4,3,2,4,3,2
1304,3,4,4,3,4,4
1306,2,3,2,3,4,3
1307,3,2,2,4,4,3
1308,1,3,3,4,3,3
1309,4,3,3,1,3,3
1310,3,3,1,1,2,3
1311,1,2,4,1,6,3
1312,4,3,3,1,0,3
1314,4,3,1,3,3,4
1315,3,1,4,1,6,3
1317,4,3,1,2,2,3
1318,4,2,2,3,2,3
1319,2,3,2,3,2,2
1321,2,3,1,4,2,3
1322,1,3,3,1,6,3
1324,4,3,3,1,5,2
1329,3,1,2,1,4,3
1331,4,3,2,1,2,4
1333,1,3,1,3,4,4
1334,3,3,3,4,3,2
1336,4,1,3,4,5,3
1338,4,3,2,1,4,3
1340,3,3,3,2,0,3
1344,4,3,4,4,0,2
1346,3,3,4,3,4,3
1349,3,3,1,4,2,3
1350,3,3,3,2,3,3
1352,3,3,2,2,2,3
1355,2,3,1,4,3,3
1356,3,3,1,4,6,4
1358,4,3,4,3,6,2
1360,3,2,1,4,0,2
1361,2,3,2,3,3,3
1362,1,4,1,4,2,2
1363,4,3,4,3,2,3
1364,3,4,4,2,4,3
